id,ticker,signal_type,session,entry_low,entry_high,tp_price,sl_price,tp_pct,sl_pct,score,wyckoff_phase,cmf_value,obv_direction,broker_crossing,vcp_grade,rs_interp,rationale,timestamp_wib,status,exit_price,exit_timestamp,pnl_pct,days_held,notes
BMP-ANTM-20260722-POST,ANTM,BUY,POST_MARKET,3120.0,3151.0,3525.0,2958.0,13.0,5.2,55,D — Sign of Strength,0.0928,Rising ▲,—,NONE,IN LINE →,CMF +0.093 (inflow) · OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.7x,2026-07-22 11:16:51,LOSS,2958.0,2026-07-27 05:41:37,-5.19,3,SL hit
BMP-MDKA-20260722-POST,MDKA,BUY,POST_MARKET,2730.0,2757.0,3112.0,2577.0,14.0,5.6,40,D — Sign of Strength,-0.0967,Rising ▲,—,NONE,UNDERPERFORM ▼,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 69/100 · Vol 1.7x,2026-07-22 11:16:52,OPEN,,,,,
BMP-MYOR-20260723-SIG,MYOR,BUY,POST_OPEN,1815.0,1833.0,1960.0,1757.0,8.0,3.2,73,C — Spring ⭐,0.0313,Rising ▲,—,NONE,UNDERPERFORM ▼,OBV naik ▲ · Wyckoff C — Spring ⭐ · Weekly 89/100,2026-07-23 03:57:06,LOSS,1757.0,2026-07-23 09:05:39,-3.2,0,SL hit
BMP-MBSS-20260723-SIG,MBSS,BUY,POST_OPEN,2700.0,2727.0,3142.0,2523.0,16.4,6.6,60,D — Sign of Strength,-0.041,Rising ▲,—,C,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 100/100,2026-07-23 03:57:07,OPEN,,,,,
BMP-MYOR-20260723-MID,MYOR,BUY,MIDDAY,1805.0,1823.0,1950.0,1747.0,8.0,3.2,71,C — Spring ⭐,0.0178,Rising ▲,—,NONE,UNDERPERFORM ▼,OBV naik ▲ · Wyckoff C — Spring ⭐ · Weekly 89/100,2026-07-23 05:40:21,LOSS,1747.0,2026-07-24 05:12:45,-3.21,1,SL hit
BMP-ANTM-20260723-MID,ANTM,BUY,MIDDAY,3110.0,3141.0,3480.0,2962.0,11.9,4.8,54,D — Sign of Strength,-0.0006,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-23 08:00:31,LOSS,2962.0,2026-07-27 05:41:37,-4.76,2,SL hit
BMP-ANTM-20260723-POST,ANTM,BUY,POST_MARKET,3080.0,3111.0,3462.0,2927.0,12.4,5.0,54,D — Sign of Strength,-0.0014,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-23 11:18:16,LOSS,2927.0,2026-07-28 09:14:11,-4.97,3,SL hit
BMP-BBCA-20260723-POST,BBCA,BUY,POST_MARKET,6275.0,6338.0,6925.0,6015.0,10.4,4.1,43,B — Indeterminate,0.1017,Rising ▲,—,NONE,IN LINE →,CMF +0.102 (inflow) · OBV naik ▲,2026-07-23 11:18:16,OPEN,,,,,
BMP-PTBA-20260724-MID,PTBA,BUY,MIDDAY,2390.0,2414.0,2562.0,2321.0,7.2,2.9,49,D — Sign of Strength,0.1096,Rising ▲,—,NONE,IN LINE →,CMF +0.110 (inflow) · OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-24 07:57:16,LOSS,2321.0,2026-07-31 09:22:23,-2.89,5,SL hit
BMP-BBCA-20260724-POST,BBCA,BUY,POST_MARKET,6275.0,6338.0,6918.0,6018.0,10.2,4.1,51,B — Indeterminate,0.1247,Rising ▲,—,NONE,IN LINE →,CMF +0.125 (inflow) · OBV naik ▲ · Weekly 69/100,2026-07-24 11:08:03,OPEN,,,,,
BMP-PTBA-20260724-POST,PTBA,BUY,POST_MARKET,2390.0,2414.0,2565.0,2320.0,7.3,2.9,48,D — Sign of Strength,0.1062,Rising ▲,—,NONE,IN LINE →,CMF +0.106 (inflow) · OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-24 11:08:04,LOSS,2320.0,2026-07-31 09:22:23,-2.93,5,SL hit
BMP-TOWR-20260724-POST,TOWR,BUY,POST_MARKET,402.0,406.0,454.0,381.0,12.9,5.2,42,B — Indeterminate,0.2985,Rising ▲,—,NONE,IN LINE →,CMF +0.298 (inflow kuat) · OBV naik ▲,2026-07-24 11:08:04,OPEN,,,,,
BMP-ANTM-20260727-MID,ANTM,BUY,MIDDAY,2950.0,2980.0,3352.0,2789.0,13.6,5.5,48,D — Sign of Strength,0.0045,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-27 06:06:10,OPEN,,,,,
BMP-MDKA-20260727-MID,MDKA,BUY,MIDDAY,2650.0,2676.0,2995.0,2512.0,13.0,5.2,43,D — Sign of Strength,-0.2947,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-27 08:57:56,WIN,2995.0,2026-08-10 03:43:53,13.02,10,TP hit
BMP-ESSA-20260727-POST,ESSA,BUY,POST_MARKET,610.0,616.0,710.0,570.0,16.4,6.6,53,D — Sign of Strength,-0.0265,Rising ▲,—,NONE,OUTPERFORM ▲,OBV naik ▲ · Wyckoff D — Sign of Strength · RS OUTPERFORM ▲,2026-07-27 12:35:16,OPEN,,,,,
BMP-ANTM-20260727-POST,ANTM,BUY,POST_MARKET,2970.0,3000.0,3372.0,2809.0,13.5,5.4,49,D — Sign of Strength,0.0106,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-27 12:35:16,OPEN,,,,,
BMP-BMRI-20260727-POST,BMRI,BUY,POST_MARKET,4160.0,4202.0,4648.0,3965.0,11.7,4.7,46,B — Indeterminate,0.0672,Rising ▲,—,NONE,IN LINE →,OBV naik ▲,2026-07-27 12:35:17,OPEN,,,,,
BMP-INDF-20260729-MID,INDF,BUY,MIDDAY,6900.0,6969.0,7355.0,6718.0,6.6,2.6,54,B — Indeterminate,0.0539,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Weekly 80/100,2026-07-29 08:09:08,WIN,7355.0,2026-08-07 04:20:07,6.59,7,TP hit
BMP-ESSA-20260729-MID,ESSA,BUY,MIDDAY,610.0,616.0,710.0,570.0,16.4,6.6,50,D — Sign of Strength,-0.0659,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-07-29 08:09:09,OPEN,,,,,
BMP-ESSA-20260729-POST,ESSA,BUY,POST_MARKET,615.0,621.0,715.0,575.0,16.3,6.5,55,D — Sign of Strength,-0.051,Rising ▲,—,NONE,OUTPERFORM ▲,OBV naik ▲ · Wyckoff D — Sign of Strength · RS OUTPERFORM ▲,2026-07-29 11:31:23,OPEN,,,,,
BMP-AALI-20260729-POST,AALI,BUY,POST_MARKET,6500.0,6565.0,7035.0,6286.0,8.2,3.3,42,B — Indeterminate,0.1166,Rising ▲,—,NONE,IN LINE →,CMF +0.117 (inflow) · OBV naik ▲,2026-07-29 11:31:24,WIN,7035.0,2026-08-03 05:33:38,8.23,3,TP hit
BMP-TINS-20260730-POST,TINS,BUY,POST_MARKET,3560.0,3596.0,4090.0,3348.0,14.9,6.0,50,D — Sign of Strength,-0.2425,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 69/100,2026-07-30 11:17:53,OPEN,,,,,
BMP-INDF-20260731-POST,INDF,BUY,POST_MARKET,6975.0,7045.0,7390.0,6809.0,5.9,2.4,56,B — Indeterminate,0.1404,Rising ▲,—,NONE,IN LINE →,CMF +0.140 (inflow) · OBV naik ▲ · Weekly 80/100 · Vol 2.1x,2026-07-31 11:34:06,WIN,7390.0,2026-08-07 04:20:07,5.95,5,TP hit
BMP-HRUM-20260803-SIG,HRUM,BUY,POST_OPEN,875.0,884.0,995.0,827.0,13.7,5.5,54,B — Indeterminate,0.0614,Rising ▲,—,NONE,OUTPERFORM ▲,OBV naik ▲ · RS OUTPERFORM ▲,2026-08-03 04:09:36,LOSS,827.0,2026-08-06 09:19:36,-5.49,3,SL hit
BMP-ULTJ-20260803-SIG,ULTJ,BUY,POST_OPEN,1495.0,1510.0,1658.0,1430.0,10.9,4.3,50,D — Sign of Strength,-0.3393,Rising ▲,—,NONE,IN LINE →,"OBV naik ▲ · Wyckoff D — Sign of Strength · Intraday 1,495",2026-08-03 04:09:37,OPEN,,,,,
BMP-NCKL-20260803-MID,NCKL,BUY,MIDDAY,945.0,954.0,1092.0,886.0,15.6,6.2,48,B — Indeterminate,0.0539,Rising ▲,—,NONE,OUTPERFORM ▲,OBV naik ▲ · RS OUTPERFORM ▲,2026-08-03 05:58:38,OPEN,,,,,
BMP-ULTJ-20260803-MID,ULTJ,BUY,MIDDAY,1495.0,1510.0,1655.0,1431.0,10.7,4.3,47,D — Sign of Strength,-0.337,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-03 05:58:39,OPEN,,,,,
BMP-TOWR-20260803-MID,TOWR,BUY,MIDDAY,400.0,404.0,452.0,379.0,13.0,5.2,44,B — Indeterminate,0.3854,Rising ▲,—,NONE,IN LINE →,CMF +0.385 (inflow kuat) · OBV naik ▲,2026-08-03 08:50:15,OPEN,,,,,
BMP-TOWR-20260803-POST,TOWR,BUY,POST_MARKET,400.0,404.0,452.0,379.0,13.0,5.2,50,B — Indeterminate,0.3867,Rising ▲,—,NONE,IN LINE →,CMF +0.387 (inflow kuat) · OBV naik ▲,2026-08-03 12:34:30,OPEN,,,,,
BMP-ULTJ-20260803-POST,ULTJ,BUY,POST_MARKET,1490.0,1505.0,1650.0,1426.0,10.7,4.3,46,D — Sign of Strength,-0.3493,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.9x,2026-08-03 12:34:31,OPEN,,,,,
BMP-ULTJ-20260804-SIG,ULTJ,BUY,POST_OPEN,1505.0,1520.0,1670.0,1439.0,11.0,4.4,52,D — Sign of Strength,-0.4066,Rising ▲,—,NONE,IN LINE →,"OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100 · Intraday 1,505",2026-08-04 03:50:58,OPEN,,,,,
BMP-ULTJ-20260804-MID,ULTJ,BUY,MIDDAY,1510.0,1525.0,1675.0,1444.0,10.9,4.4,50,D — Sign of Strength,-0.3658,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100,2026-08-04 05:33:19,OPEN,,,,,
BMP-ULTJ-20260804-POST,ULTJ,BUY,POST_MARKET,1515.0,1530.0,1680.0,1449.0,10.9,4.4,52,D — Sign of Strength,-0.3141,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100 · Vol 2.5x,2026-08-04 11:31:21,OPEN,,,,,
BMP-SMGR-20260804-POST,SMGR,BUY,POST_MARKET,1530.0,1545.0,1705.0,1460.0,11.4,4.6,41,B — Indeterminate,0.0913,Rising ▲,—,NONE,IN LINE →,CMF +0.091 (inflow) · OBV naik ▲,2026-08-04 11:31:22,OPEN,,,,,
BMP-TOWR-20260805-MID,TOWR,BUY,MIDDAY,416.0,420.0,468.0,395.0,12.5,5.0,51,B — Indeterminate,0.3849,Rising ▲,—,NONE,IN LINE →,CMF +0.385 (inflow kuat) · OBV naik ▲,2026-08-05 05:32:36,OPEN,,,,,
BMP-ULTJ-20260805-MID,ULTJ,BUY,MIDDAY,1490.0,1505.0,1660.0,1422.0,11.4,4.6,52,D — Sign of Strength,-0.3316,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 83/100,2026-08-05 08:06:11,OPEN,,,,,
BMP-ANTM-20260805-MID,ANTM,BUY,MIDDAY,3050.0,3080.0,3412.0,2905.0,11.9,4.8,50,D — Sign of Strength,-0.1454,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.7x,2026-08-05 08:06:11,OPEN,,,,,
BMP-ANTM-20260805-POST,ANTM,BUY,POST_MARKET,3070.0,3101.0,3432.0,2925.0,11.8,4.7,57,D — Sign of Strength,-0.0982,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Vol 1.9x,2026-08-05 11:26:58,OPEN,,,,,
BMP-ULTJ-20260805-POST,ULTJ,BUY,POST_MARKET,1490.0,1505.0,1660.0,1422.0,11.4,4.6,52,D — Sign of Strength,-0.3333,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 83/100,2026-08-05 11:26:59,OPEN,,,,,
BMP-ANTM-20260806-SIG,ANTM,BUY,POST_OPEN,3120.0,3151.0,3490.0,2972.0,11.9,4.7,46,D — Sign of Strength,-0.2033,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-06 03:51:48,OPEN,,,,,
BMP-HRUM-20260806-MID,HRUM,BUY,MIDDAY,860.0,869.0,998.0,805.0,16.0,6.4,49,B — Indeterminate,0.082,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.082 (inflow) · OBV naik ▲ · RS OUTPERFORM ▲ · Vol 2.7x,2026-08-06 05:35:03,OPEN,,,,,
BMP-ANTM-20260806-MID,ANTM,BUY,MIDDAY,3090.0,3121.0,3460.0,2942.0,12.0,4.8,39,D — Sign of Strength,-0.2234,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-06 08:04:51,OPEN,,,,,
BMP-ANTM-20260806-POST,ANTM,BUY,POST_MARKET,3090.0,3121.0,3460.0,2942.0,12.0,4.8,37,D — Sign of Strength,-0.2234,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-06 11:30:47,OPEN,,,,,
BMP-BBRI-20260807-POST,BBRI,BUY,POST_MARKET,3130.0,3161.0,3368.0,3035.0,7.6,3.0,58,B — Indeterminate,0.0649,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Vol 1.5x,2026-08-07 10:08:08,OPEN,,,,,
BMP-ANTM-20260807-POST,ANTM,BUY,POST_MARKET,3160.0,3192.0,3532.0,3011.0,11.8,4.7,55,D — Sign of Strength,-0.1285,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-07 10:08:09,OPEN,,,,,
BMP-ULTJ-20260810-SIG,ULTJ,BUY,POST_OPEN,1505.0,1520.0,1662.0,1442.0,10.4,4.2,53,D — Sign of Strength,-0.2646,Rising ▲,—,NONE,IN LINE →,"OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100 · Intraday 1,505",2026-08-10 04:16:28,OPEN,,,,,
BMP-MYOR-20260810-SIG,MYOR,BUY,POST_OPEN,1710.0,1727.0,1875.0,1644.0,9.6,3.9,37,C — Spring ⭐,-0.2862,Falling ▼,—,NONE,UNDERPERFORM ▼,Wyckoff C — Spring ⭐,2026-08-10 04:16:28,OPEN,,,,,
